Backend,Operation,Mode,Pinned,Peak (GiB/s),Median (GiB/s),Min Latency (Î¼s)
LEVEL_ZERO,D2D,Sync,Yes,189.30,6.44,35.97
LEVEL_ZERO,D2D,Sync,No,189.23,3.28,45.32
LEVEL_ZERO,D2D,Batch,Yes,208.29,40.87,5.23
LEVEL_ZERO,D2D,Batch,No,208.14,41.37,5.17
LEVEL_ZERO,H2D,Sync,Yes,10.22,4.12,34.79
LEVEL_ZERO,H2D,Sync,No,7.34,2.08,88.44
LEVEL_ZERO,H2D,Batch,Yes,10.27,8.19,4.40
LEVEL_ZERO,H2D,Batch,No,10.25,7.99,4.63
LEVEL_ZERO,D2H,Sync,Yes,10.53,4.29,34.07
LEVEL_ZERO,D2H,Sync,No,7.37,2.10,91.83
LEVEL_ZERO,D2H,Batch,Yes,10.58,9.14,3.61
LEVEL_ZERO,D2H,Batch,No,10.55,8.84,3.83
